Year,Benzin,Diesel,LPG (einschl. bivalent),CNG (einschl. bivalent),BEV,Hybrid (gesamt),Plug-in Hybrid,Sonstige,Insgesamt
2005,1903190,1425576,1380,8053,47,3589,,287,3342122
2006,1910823,1535881,4220,11555,19,5278,,185,3467961
2007,1622276,1501566,5419,11208,8,7591,,95,3148163
2008,1695972,1361457,14175,11896,36,6464,,40,3090040
2009,2608767,1168633,11083,10062,162,8374,,94,3807175
2010,1669927,1221938,8154,4982,541,10661,,57,2916260
2011,1651637,1495966,4873,6283,2154,12622,,99,3173634
2012,1555241,1486119,11465,5215,2956,21438,408,70,3082504
2013,1502784,1403113,6257,7835,6051,26348,1385,43,2952431
2014,1533726,1452565,6234,8194,8522,27435,4527,97,3036773
2015,1611389,1538451,4716,5285,12363,33630,11101,208,3206042
2016,1746308,1539596,2990,3240,11410,47996,13744,67,3351607
2017,1986488,1336776,4400,3723,25056,84675,29436,144,3441262
2018,2142700,1111130,4663,10804,36062,130258,31442,161,3435778
2019,2136891,1152733,7256,7623,63281,239250,45348,224,3607258
2020,1361723,819896,6543,7159,194163,527864,200469,330,2917678
2021,972588,524446,10118,3916,355961,754588,325449,515,2622132
2022,863445,472274,15006,1846,470559,827321,362093,906,2651357
2023,978660,486581,13147,1327,524219,840304,175724,371,2844609
2024,991948,483261,13711,137,380609,947398,191905,267,2817331
